"FirstDates252 El Jonhy Deep de Hacendado.","negative"
"_vickydesimone pachiquintans -  Tome un milka oreo estoy asi😎. . jajajaj tkm!","positive"
"2601joe lovrega rolandoideas12 Esto es lo que pasa cuando los panazis tragan pura mierda de Bimbo...","negative"
"acquirimus eso no es nada, fue más criminal que el chapo, sus productos chatarra producen Cancer, usa transgénicos,es un asco el pan Bimbo.","negative"
"AgoosHughes decimelo a mi, me olvidé de comprarme algo en milka😣","positive"
"AlbertMonteys Coño, es un avatar hacendado!","negative"
"altonivel Ni que para evitar el pago de impuestos, financiaba campañas presidenciales, Bimbo hoy solo paga el 10% de lo que le toca pagar😾🐼","negative"
"Ark_antos tonse cuando las pillas mis padres suelen pillar hacendado, o cosas así","positive"
"Benji_Mascolo bimbo felice❤️","positive"
"byBerted integrales???Pues hay pan integral pan tostado integral pan bimbo integral cereales integrales... Ale una clase rapida e intensiba","positive"
"camaleon92 Xabi, ambos sabemos que es lo que acabara ocurriendo, que me comeré una tableta de milka JAJAJAJAJA","positive"
"CandeArbizu McDonalds_Ar me muero ooo!!!!!!! Milka oreo soy tu fan😍😍😍😍","positive"
"CiudadanosCs Albert_Rivera HoyPorHoy y derecho a vivienda digna y un salario digno k no s3a marca hacendado","negative"
"ESAHE me recuerda al pan de pitaya... lo preparan en el norte... me tendre que conformar ahorita con unos de Bimbo :/","positive"
"FDoficial Pame viste el pan bimbo artesano bueno tambien esta para las hamburguesas... una bomba😁🍔🍔","positive"
"Fraan_Bimboni ay te odio Bimbo!!! Ahí lo cito again","negative"
"GeekIndignado puleva Si fuese sólo Puleva... la mayoría de empresas nos la meten doblada pero como es 'normal'...","negative"
"Grupo_Bimbo lucra y no apoya: Que impriman fotos d  desaparecidos en sus productos  … ","negative"
"iComxkon_ yo más milka","positive"
"infinitypyp llego la vaca de Milka","positive"
"Iriagparente Cada vez que surge esta discusión yo digo que soy de marca Hacendado que está muy rico.","positive"
"KareenSoledad te cambio un disco de Ntvg por un Milka Oreo en el Mac(? Ah","positive"
"KobaCid 'ya que sales a la calle, compra media docena de yogures sin azúcar, pero que no sean Hacendado '. Lillian… ","negative"
"LeonelaSuardi De kiosco, para mí: Cachafaz, Águila, Milka, Capitán del Espacio, Suchard. Triple/Doble de chocolate.","positive"
"linenda traeme unas bimbo","positive"
"loyolacg5L viva hacendado y las meriendas/comidas/cenas que nos ha dado","positive"
"ManuBP93 Joder yo de chico me inflaba a bocatas de nocilla en pan bimbo, pero no lo veo igual con esa pizza","positive"
"momitoh  si hoy en DDS ZampiniCarinaOk  dice 'circunstancia' o 'situación' me debes un Milka!","positive"
"moonarixx milka oreo  ❤❤","positive"
"NOTIGODINEZ PrometeoNuclear  BIMBO pagaba boda completa si los 2 trabajaban en la empresa. OUT A empleado le llegaban a reclamar PENSIÓN","positive"
"olallasway De3pPain xpattt_ prefiero una milka con leche gracias. Y si lleva oreos mejor que mejor","positive"
"pili_pulido016 dale, que querés torta otro torta Milka o cofler o chocotorta","positive"
"Pony007_ en fábricas de Francia hay felicidad Milka para todos.","positive"
"Principesa_Maga y saben igual que las de tarra,lo tengo comprobado,no es que escatimen en ingredientes o algo con las hacendado","positive"
"RitaMonico agarra numa tablete de milka e janta-a 😂","positive"
"Rubitervio para eso me bebo la leche sola. Solo falta que prefieres la leche pascual.. Te he perdio tol respeto tio...nesquick a donde vamos","negative"
"solsonaje izuzquiza nuevatribuna A ver si el tío Roig mejora la fórmula de la cola Hacendado y me cambio...","negative"
"TesourosTuga o chocolate milka tipo😂","positive"
"unocero  funciona con donitas Bimbo :V","positive"
"¿Que mejor que PulevaMax ","positive"
"Abri un pan bimbo artesano hoy a la mañana y ya lo deje por la mitad ayuda","positive"
"Acabo de ver como una mina se comía un milka oreo derretido y en vez de chuparse los dedos con chocolate SE LOS LIMPIÓ. Ni olvido ni perdón","positive"
"Acabo de ver una foto de publicidad del mcflurry Milka oreo. Siento como todo mi ser me consume por ir a comprar uno. 😭","positive"
"Algún economista en la sala me explica como un pan lactal bimbo sale un 25% en un pueblo de la zona mas humilde de Colombia que en CABA?","negative"
"Amo las tortillas de bimbo, me resuelven la vida","positive"
"Amor por el chocolate Milka 🍫💕","positive"
"Anoche me comí un plato de espagueti con pollo y un vaso de leche y un Nito bimbo y hoy amanecí con una perra hambre","positive"
"aquela típica vontade de comer milka de oreo","positive"
"Ay Bimbo nunca nos faltes! ","positive"
"Ba... una barra de chocolate milka ahora 10puntos 👌","positive"
"Bimbo diet no ayuda mucho","negative"
"Bimbo peloso!","negative"
"Cd del pity mientras como un milka jaja","positive"
"Cenita en el auchan 🐖💖😻","positive"
"Chocolate Milka a esta hs y con frío es un golazo","positive"
"Clasicos que no fallan 😋 Chocotorta Bomba cake chocotorta kitkat milka rocklets love sweet ","positive"
"Comiendo porque bimbo wiiii","positive"
"Como le pega una buena tostadita de pan bimbo con una mermeladita los nietitos","positive"
"Como me pueden los milka triple de oreo 😍😍😍😍","positive"
"como pueden amar tanto el kit kat, milka,cadbury yogur, kinder, te AMO, en ese orden","positive"
"Con los chicos Bimbo :) ","positive"
"Con mielcitas y un Milka mousse en  mano voy a descansar feliz! Dulce sueños❤😄","positive"
"Con valentina nos gastamos todo con la maquinita del milka jajajajajja","positive"
"Cumplí con una buena rutina en la bici y ahora me estoy chingando unos deliciosos panquecitos Bimbo","positive"
"El 95% de las veces que algo me da gracia y se lo envio a Bimbo, no me contesta, y cuando me contesta ya en vdd no me da gracia mas na'","negative"
"El clima de hoy hizo comprarme un alfajor milka mousse (que amaba de chica) y no lo pude terminar, me doy vergüenza.","positive"
"El Mc Mflurry Milka Oreo no soy dignaaaa","positive"
"El Mcflurry milka oreo es lo único bueno que tiene Mac 😍","positive"
"El milka me lo como yo ahora 😂 — Oka pero decime quien soss ","positive"
"El milka oreo es la mejor combinación que puede haber en este mundo 😍","positive"
"EL MILKA OREO 😍😍 ","positive"
"El pan bimbo cero es todo lo que está bien","positive"
"El pan bimbo es un timo de cojones, más pequeño que otros, más caro que ninguno","negative"
"el tremendo chocolate milka que hay en la heladera de mi tia, 5 minutos más y lo voy a buscar","positive"
"En mi casa solo consumimos productos Hacendado, Inditex, Henkel o de Industrias Wayne.","positive"
"Encima milka con almendras, amarte ma😍♥","positive"
"ENTRE MILKA NORMAL OU MILKA DE OREO","positive"
"Entre otras buenas noticias al pan bimbo no le ha salido moho. parece","positive"
"Estaría necesitando cincuenta chocolates milka y una chocotorta para completar todddo","positive"
"Estaria necesitando un mcflurry de milka oreo 😍","positive"
"Estaria para que Jor me regale un chocolate milka.","positive"
"este mal humor solo es curable con un chocolate milka oreo y no me va a pasar na bronka","positive"
"Estos de cs son la marca hacendado del PP ","negative"
"estoy antojadisima de cosas dulces, quiero un milka, una chocotorta, oreos, gomitas, caramelos, un coffler, una tita y un alfajor bon o bon.","positive"
"Existe la manera de tener un suministro de kitkats, kinder buenos, chuches, palomitas, milka, cacaolat, zumos y alcohol para toda la vida?","positive"
"Fui a comprar pan Bimbo y el señor de la tienda me preguntó qué pan me gusta, le terminé hablando de tu panzote, como a todos como siempre.","positive"
"Ganas de un Milka blanco 🐷🍫","positive"
"Hace mil vengo pidiendo algo dulce y hoy padre me trajo un milka 😍😍","positive"
"He aquí Bimbo 😂🐶🙈💙 ","positive"
"Hoy es noche de milka y física😊😊","positive"
"hoy fui al shopping con mi abuela y mi hermana y vi un chocolate milka oreo gigante y quede enamorada","positive"
"Ir al curro por mi. Os pago con Milka de oreo.","positive"
"Keila si ves esto estoy con insomnio, aburrido mirando el techo y comiendo un MILKA/OREO. 😘😘😘","positive"
"La pared que nos separa es fina como pan Bimbo integral no seas malo","negative"
"le pedi a papa un helado de milka todo dulce de leche y me lo trajo de oreo y choccolate , me la bajo😞 odio el chocolate","positive"
"Llegaba a la casa y le metia tres rapiditas bimbo el bajonero","positive"
"Lo bueno de estar con gripe es que puedo lloriquear a mi madre para que me traiga chocolate Milka 😍","positive"
"Lo que daría por tener en mis manos un milka oreo en este momento","positive"
"Lo repetire hasta la saciedad. Basta de la lucha del Colacao vs Nesquik. El cacao de Hacendado es lo mejor.","positive"
"Lo rico q es el Milka choco pause la puta madre 😍😍😍","positive"
"Lo único que necesito hacer en este momento es frenar el dolorcito de esas mariposas muertas en la panza con un alfajor triple. milka.","positive"
"'Los 80' (2004): Algunos la llamaron la versión Hacendado de 'Cuéntame'. Cómo es la gente. ","negative"
"Los milka blanco son mi perdición","positive"
"Los panquesitos bimbo ya estan horribles😭","negative"
"luli me hace cuidarme y es la primera galletita de salvado que como con té de tilo en mi vida me estoy por pegar un tiro o clavarme un milka","positive"
"Más bimbo * ","positive"
"Más que de Kit Kat esto me parece propio de la vaca morada de Milka.. enjutomojamuto FelizMartes eslang… ","negative"
"Mato por un milka","positive"
"Mc flurry milka oreo? Eso dice María sol por todos lados","positive"
"Me armé un sanguchito de Milanesa con el pan lactal Bimbo artesanal, es una fiesta amigo este Pancito","positive"
"Me compré 2 alfajores Milka y uno Pepito😻😏","positive"
"Me compre un milka de oreo y esta blandito! NADA mejor q esto ❤️","positive"
"me declaro fan de milka","positive"
"me encantaría clavar un buen milka con pedacitos de oreo pero en esta casa para bajonesr hay: cereales","positive"
"Me hice adicto al bimbo artesano para hamburguesas. Ya fue, me limpiare con una estopa y sacare el pito para afuera como una lata de aceite.","positive"
"Me tentó ese milka","positive"
"Mi cena es un triple milka , vamos bien eh","positive"
"Mi novia me trajo un re alfajor milka oreo estoy asi😍😍😍😍😍","positive"
"Mi sueño es tener un sanguche de jamón y queso con pan lactal Bimbo artesano y tener el copete bien peinado.","positive"
"Mila de la ypf y un alfajor milka oreo 😍😍😍","positive"
"Milka + oreo = amor","positive"
"milka oreo 💜💙","positive"
"Mucha tecnología en este mundo y Grupo Bimbo aún sigue cerrando su pan blanco con un pinche alambrito. ✌🏻","negative"
"Muero por un alfajor Milka oreo 😭","positive"
"Muero por un chocolate milka","positive"
"Muero por una caja de bon o bon, un block 300, y un Milka con dulce de leche.🐷","positive"
"Naaaa loco me muero salio el mcflurry milka oreo quiero mil d esossss gsusss 😍😍😍😍😍","positive"
"Necesito ahogarme en chocolate, en lo posible Milka... Blanco... Con oreos 😢","positive"
"Necesito comer oreos bañadas y milka oreo","positive"
"Necesito comer oreos bañadas y milka oreo mañana","positive"
"Necesito probar el mc flurry milka oreo","positive"
"necesito un block o un milka ahora ya","positive"
"Necesito un milka de malvavisco, galletita y chocolate","positive"
"Necesito un Milka oreo ya","positive"
"No es por venir a crear polémica, pero ya se dieron cuenta que los negritos Bimbo son medias noches cubiertos de  chocolate, abusados","negative"
"No me puedo dormir sabiendo que hay un Milka oreo en la cocina","positive"
"Ojala franco no se haya comido todo mi milka oreo😭","positive"
